latitude,longitude,satellites,speed,altitude,heading,temperature,bpm,year,month,day,hours,minutes,seconds,centiseconds
45.3256478,9.6948680,7,0.1,75.5,0.0,28.8,0,2021,05,10,17,56,39,60
45.3256478,9.6948678,7,0.0,75.4,0.0,28.8,0,2021,05,10,17,56,39,70
45.3256478,9.6948678,7,0.0,75.4,0.0,28.8,0,2021,05,10,17,56,39,80
45.3256477,9.6948678,7,0.1,75.4,0.0,28.8,0,2021,05,10,17,56,39,90
45.3256477,9.6948678,7,0.0,75.4,0.0,28.8,0,2021,05,10,17,56,40,00
45.3256477,9.6948677,7,0.1,75.3,0.0,28.8,0,2021,05,10,17,56,40,10
45.3256477,9.6948677,7,0.0,75.3,0.0,28.8,0,2021,05,10,17,56,40,20
45.3256477,9.6948675,7,0.0,75.3,0.0,28.8,0,2021,05,10,17,56,40,30
45.3256477,9.6948675,7,0.1,75.3,0.0,28.8,0,2021,05,10,17,56,40,40
45.3256475,9.6948675,7,0.1,75.2,0.0,28.8,0,2021,05,10,17,56,40,50
45.3256475,9.6948675,7,0.1,75.2,0.0,28.8,0,2021,05,10,17,56,40,60
45.3256475,9.6948675,7,0.1,75.2,0.0,28.8,0,2021,05,10,17,56,40,70
45.3256475,9.6948673,7,0.0,75.2,0.0,28.8,0,2021,05,10,17,56,40,80
45.3256475,9.6948673,7,0.1,75.1,0.0,28.8,0,2021,05,10,17,56,40,90
45.3256473,9.6948673,7,0.1,75.1,0.0,28.8,0,2021,05,10,17,56,41,00
45.3256473,9.6948672,7,0.0,75.1,0.0,28.8,0,2021,05,10,17,56,41,10
45.3256473,9.6948672,7,0.1,75.1,0.0,28.8,0,2021,05,10,17,56,41,20
45.3256473,9.6948670,7,0.1,75.0,0.0,28.8,0,2021,05,10,17,56,41,30
45.3256473,9.6948668,7,0.0,75.0,0.0,28.8,0,2021,05,10,17,56,41,40
45.3256472,9.6948668,7,0.1,75.0,0.0,28.8,0,2021,05,10,17,56,41,50
45.3256472,9.6948668,7,0.1,75.0,0.0,28.8,0,2021,05,10,17,56,41,60
45.3256472,9.6948667,7,0.0,74.9,0.0,28.8,0,2021,05,10,17,56,41,70
45.3256470,9.6948667,7,0.0,74.9,0.0,28.8,0,2021,05,10,17,56,41,80
45.3256470,9.6948667,7,0.1,74.9,0.0,28.8,0,2021,05,10,17,56,41,90
45.3256470,9.6948665,7,0.1,74.9,0.0,28.8,0,2021,05,10,17,56,42,00
45.3256468,9.6948665,7,0.0,74.8,0.0,28.8,0,2021,05,10,17,56,42,10
45.3256468,9.6948665,7,0.1,74.8,0.0,28.8,0,2021,05,10,17,56,42,20
